note,lat,lng,type,popup
blackwater,38.44166,-76.11782,rural,"<img src=""birdspics/bald_eagle_2501.JPG"" width=""90""> <img src=""birdspics/wilson_s_snipe_2501.JPG"" width=""90"">'"
harpersferry,39.32439,-77.7255,rural,"<img src=""birdspics/turkey_vulture_2403.JPG"" width=""90""> <img src=""birdspics/great_blue_heron_2403.JPG"" width=""90"">'"
duke,36.00323,-78.93374,rural,"<img src=""birdspics/northern_cardinal_2203.jpg"" width=""90""> <img src=""birdspics/red_tailed_hawk_2201.jpg"" width=""90"">'"
discoverypark,47.66241,-122.43432,rural,"<img src=""birdspics/caspian_tern_2407.JPG"" width=""90""> <img src=""birdspics/glaucous_winged_gull_2407.JPG"" width=""90"">'"
cannonbeach,45.88458,-123.96861,rural,"<img src=""birdspics/brown_pelican_2407.JPG"" width=""90""> <img src=""birdspics/california_gull_2407.JPG"" width=""90"">'"
nola,30.09336,-90.43263,rural,"<img src=""birdspics/great_egret_2203.JPG"" width=""90"">'"
yulong,27.12898,100.24284,rural,"<img src=""birdspics/red_billed_blue_magpie_2303.JPG"" width=""90""> <img src=""birdspics/white_wagtail_2303.JPG"" width=""90"">'"
kyoto,35.01526,135.67181,rural,"<img src=""birdspics/gray_heron_1907.jpg"" width=""90""> <img src=""birdspics/great_cormorant_1907.jpg"" width=""90"">'"
innerharbor,39.27909,-76.59966,urban,"<img src=""birdspics/ring_billed_gull_juv_2310.jpeg"" width=""90""> <img src=""birdspics/double_crested_cormorant_2310.JPG"" width=""90"">'"
libertyisland,40.69019,-74.04423,urban,"<img src=""birdspics/american_herring_gull_2401.JPG"" width=""90""> <img src=""birdspics/brant_2401.JPG"" width=""90"">'"
lhasa,29.66037,91.11783,urban,"<img src=""birdspics/ruddy_shelduck_1912.jpg"" width=""90""> <img src=""birdspics/bar_headed_goose_1912.jpg"" width=""90"">'"
dku,31.41755,120.89291,urban,"<img src=""birdspics/little_egret_2111.jpeg"" width=""90""> <img src=""birdspics/little_grebe_2105.jpeg"" width=""90"">'"
forestpark,31.39642,120.90624,urban,"<img src=""birdspics/eurasian_moorhen_2302.jpg"" width=""90""> <img src=""birdspics/long_tailed_shrike_2302.jpg"" width=""90"">'"
guchengqu,31.30295,120.6159,urban,"<img src=""birdspics/spotted_dove_2011.jpeg"" width=""90""> <img src=""birdspics/eurasian_tree_sparrow_1911.jpg"" width=""90"">'"
summerpalace,39.98998,116.26826,urban,"<img src=""birdspics/mandarin_duck_juv_2306.JPG"" width=""90"">'"
chengdu,30.74135,104.14193,urban,"<img src=""birdspics/white_browed_laughingthrush_2007.JPG"" width=""90"">'"
yungang,40.11208,113.1376,urban,"<img src=""birdspics/eurasian_crag_martin_2306.jpg"" width=""90"">'"
,,,,