Date,Tour,Headliner,Opener,Location,Venue,Status,Rating,Noise Level
11/8/23,Still… At Their Very Best,The 1975,Dora Jar,Baltimore MD,CFG Bank Arena,Attended,7,Tinnitus for a while w/o earplugs
12/9/23,Bluebond Band Program Holiday Concerts,,,Philadelphia PA,Bluebond Guitar Shop,Attended,,Tinnitus for a while w/o earplugs
1/19/24,Between Nowhere,"RIDE, The Charlatans",,Philadelphia PA,Union Transfer,Attended,10,Tinnitus until next day w/o earplugs
5/11/24,Interplay 1st Leg,RIDE,Knifeplay,Boston MA,Big Night Live,Attended,10,Good w/o earplugs
6/14/24,The Collective,Kim Gordon,Bill Nace,Philadelphia PA,Union Transfer,Attended,7,Good w/ earplugs
7/16/24,Frog in Boiling Water,DIIV,"Dutch Interior, Horse Jumper of Love",Washington DC,Howard Theatre,Attended,9,Good w/ earplugs
8/9/24,The Saviors,Green Day,"Rancid, The Linda Lindas, The Smashing Pumpkins",Philadelphia PA,Citizen Bank Park,Attended,7,Good w/ earplugs
10/6/24,The Psychedelic Furs & The Jesus and Mary Chain,"The Jesus and Mary Chain, The Psychedelic Furs",Frankie Rose,Washington DC,The Anthem,Attended,8,Good w/o earplugs
10/29/24,冀西南林路行,万能青年旅店,,New York NY,Terminal 5,Attended,9,Good w/o earplugs
11/17/24,Everything is Alive,slowdive,quannnic,Washington DC,The Anthem,Attended,8,Good w/o earplugs
12/7/24,Interplay 2nd Leg,RIDE,Rocket,Washington DC,9:30 Club,Attended,8,Good w/o earplugs
2/21/25,Les Chants de l'Aurore,Alcest,"Kælan Mikla, MONO",Baltimore MD,Baltimore Soundstage,Attended,10,Good w/o earplugs
4/17/25,La Luz Spring Tour,La Luz,Color Green,Baltimore MD,Ottobar,Attended,9,Good w/o earplugs
5/5/25,Grand National Tour: Kendrick Lamar and SZA,"Kendrick Lamar, SZA",Mustard,Philadelphia PA,Lincoln Financial Field,Attended,10,Good w/o earplugs
5/10/25,Romance,Fontaines D.C.,Jadu Heart,Washington DC,The Anthem,Attended,10,Tinnitus for a while w/o earplugs
6/5/25,Somewhere in Time,RINI,Bathe,Los Angeles CA,The Belasco,Attended,8,Good w/o earplugs
7/5/25,口 Aha,Carsick Cars,,苏州,山丘LiveHouse,Attended,9,Good w/o earplugs
10/25/25,破晓还潮,Sadless,野草 The Ruderals,Lafayette IN,Digby’s Pub & Patio,Attended,7,Good w/o earplugs